,Title,Release Year,Genre,Imdb Rating,Runtime,Age Rating,Country origin,Url,Streaming Provider,Type
47,The Gentlemen,2024,"Action & Adventure, Comedy, Crime, Drama",8.1,50min,A,"United States, United Kingdom",https://www.justwatch.com/in/tv-show/the-gentlemen,Netflix,TV Show
51,Bodkin,2024,"Drama, Mystery & Thriller, Comedy",7.0,50min,A,United States,https://www.justwatch.com/in/tv-show/bodkin,Netflix,TV Show
52,The Atypical Family,2024,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",7.4,1h 13min,NA,South Korea,https://www.justwatch.com/in/tv-show/the-atypical-family,Netflix,TV Show
54,Dehati Ladke,2023,Drama,7.2,24min,NA,India,https://www.justwatch.com/in/tv-show/dehati-ladke,Amazon miniTV,TV Show
60,X-Men '97,2024,"Animation, Action & Adventure, Science-Fiction, Fantasy",9.0,33min,NA,United States,https://www.justwatch.com/in/tv-show/x-men-97,Hotstar,TV Show
65,Maamla Legal Hai,2024,"Drama, Comedy",8.1,32min,NA,India,https://www.justwatch.com/in/tv-show/maamla-legal-hai,Netflix,TV Show
70,Ripley,2024,"Crime, Drama, Mystery & Thriller",8.2,56min,NA,United States,https://www.justwatch.com/in/tv-show/ripley,Netflix,TV Show
71,Dr. Arora,2022,"Comedy, Drama",7.1,37min,A,India,https://www.justwatch.com/in/tv-show/dr-arora,Sony Liv,TV Show
75,The Broken News,2022,"Drama, Mystery & Thriller",7.6,36min,UA,India,https://www.justwatch.com/in/tv-show/the-broken-news,NA,TV Show
76,The Railway Men - The Untold Story of Bhopal 1984,2023,"Drama, Mystery & Thriller, History",8.5,59min,NA,India,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984,NA,TV Show
81,Sugar,2024,"Drama, Mystery & Thriller, Crime",7.6,36min,A,United States,https://www.justwatch.com/in/tv-show/sugar,Apple TV Plus,TV Show
82,Kaiju No. 8,2024,"Animation, Action & Adventure, Fantasy, Horror, Science-Fiction",8.4,23min,NA,Japan,https://www.justwatch.com/in/tv-show/kaiju-no-8,Crunchyroll,TV Show
86,Wednesday,2022,"Science-Fiction, Mystery & Thriller, Comedy, Crime, Fantasy, Kids & Family, Horror",8.1,49min,NA,United States,https://www.justwatch.com/in/tv-show/wednesday,Netflix,TV Show
88,Jurassic World: Chaos Theory,2024,"Kids & Family, Science-Fiction, Animation, Action & Adventure",7.7,24min,NA,United States,https://www.justwatch.com/in/tv-show/jurassic-world-chaos-theory,NA,TV Show
89,We Were the Lucky Ones,2024,Drama,7.4,56min,NA,United States,https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,NA,TV Show
97,Outer Range,2022,"Action & Adventure, Drama, Crime, Mystery & Thriller",7.0,NA,U,NA,https://www.justwatch.com/in/tv-show/outer-range,NA,TV Show
